organization,version,location,location_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,startTime,confidence,is_species_allowed_in_project
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,TRINGA NEBULARIA,Common Greenshank,297.0,0.28915995,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,ZOOTHERA AUREA,White's Thrush,15.0,0.35691047,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,ZOOTHERA AUREA,White's Thrush,36.0,0.20179527,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,TRINGA MELANOLEUCA,Greater Yellowlegs,297.0,0.24026124,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,69.0,0.3139741,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,90.0,0.29259732,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,96.0,0.28890467,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,114.0,0.21905148,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,117.0,0.23843949,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,141.0,0.21333359,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,162.0,0.2474814,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,168.0,0.31856287,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,177.0,0.3978477,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,210.0,0.41935492,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,219.0,0.4592743,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,225.0,0.22363122,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS GUTTATUS,Hermit Thrush,231.0,0.46152398,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CHERSOPHILUS DUPONTI,Dupont's Lark,96.0,0.20062639,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CHERSOPHILUS DUPONTI,Dupont's Lark,117.0,0.24931645,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CHERSOPHILUS DUPONTI,Dupont's Lark,225.0,0.21748133,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CINCLIDIUM FRONTALE,Blue-fronted Robin,177.0,0.3411541,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CINCLIDIUM FRONTALE,Blue-fronted Robin,210.0,0.2309553,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CINCLIDIUM FRONTALE,Blue-fronted Robin,219.0,0.28545606,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CINCLIDIUM FRONTALE,Blue-fronted Robin,231.0,0.28451875,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CYANOPTILA CYANOMELANA,Blue-and-white Flycatcher,42.0,0.20530635,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CYORNIS SUPERBUS,Bornean Blue Flycatcher,96.0,0.20407748,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,MYIOMELA LEUCURA,White-tailed Robin,96.0,0.20287454,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,NAPOTHERA DANJOUI,Short-tailed Scimitar Babbler,132.0,0.23753572,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,NAPOTHERA DANJOUI,Short-tailed Scimitar Babbler,162.0,0.24562342,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,NAPOTHERA DANJOUI,Short-tailed Scimitar Babbler,186.0,0.29949203,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,ZOOTHERA LUNULATA,Bassian Thrush,99.0,0.27596962,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,ZOOTHERA LUNULATA,Bassian Thrush,201.0,0.27205592,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FUSCATER,Slaty-backed Nightingale-Thrush,177.0,0.26059097,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FUSCATER,Slaty-backed Nightingale-Thrush,123.0,0.26574424,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FUSCATER,Slaty-backed Nightingale-Thrush,114.0,0.26079264,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FUSCATER,Slaty-backed Nightingale-Thrush,96.0,0.29661793,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FUSCATER,Slaty-backed Nightingale-Thrush,42.0,0.21597762,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FRANTZII,Ruddy-capped Nightingale-Thrush,231.0,0.20886192,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FRANTZII,Ruddy-capped Nightingale-Thrush,210.0,0.2585619,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-03 07:45:00,880001,300,CATHARUS FRANTZII,Ruddy-capped Nightingale-Thrush,177.0,0.3046782,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SUTHORA WEBBIANA,Vinous-throated Parrotbill,183.0,0.28341126,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PINUS,Pine Warbler,6.0,0.23613566,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PINUS,Pine Warbler,30.0,0.23946053,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PINUS,Pine Warbler,75.0,0.23971161,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PINUS,Pine Warbler,87.0,0.21315202,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PINUS,Pine Warbler,96.0,0.22135633,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PINUS,Pine Warbler,117.0,0.32346264,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PINUS,Pine Warbler,120.0,0.20672794,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SPIZELLA PASSERINA,Chipping Sparrow,87.0,0.2224617,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SPIZELLA PASSERINA,Chipping Sparrow,102.0,0.23626906,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SPIZELLA PASSERINA,Chipping Sparrow,117.0,0.28038758,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SPIZELLA PASSERINA,Chipping Sparrow,129.0,0.2054491,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SPIZELLA PASSERINA,Chipping Sparrow,165.0,0.24513796,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SPIZELLA PASSERINA,Chipping Sparrow,246.0,0.26324433,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,COEREBA FLAVEOLA,Bananaquit,162.0,0.21837495,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LOXIA LEUCOPTERA,White-winged Crossbill,177.0,0.33099174,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LOXIA LEUCOPTERA,White-winged Crossbill,180.0,0.5125871,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LOXIA LEUCOPTERA,White-winged Crossbill,183.0,0.4538128,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LOXIA LEUCOPTERA,White-winged Crossbill,291.0,0.43824437,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,POLIOPTILA PLUMBEA,Tropical Gnatcatcher,6.0,0.2523685,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,PHYLLOSCOPUS SIBILATRIX,Wood Warbler,120.0,0.46601006,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,OREOTHLYPIS CRISSALIS,Colima Warbler,6.0,0.23059335,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,OREOTHLYPIS CRISSALIS,Colima Warbler,30.0,0.21750031,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,OREOTHLYPIS CRISSALIS,Colima Warbler,117.0,0.24519582,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SETOPHAGA PALMARUM,Palm Warbler,30.0,0.24095036,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LOCUSTELLA NAEVIA,Common Grasshopper-Warbler,102.0,0.78853005,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,PHYLLOSCOPUS BONELLI,Western Bonelli's Warbler,87.0,0.30890962,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,PHYLLOSCOPUS BONELLI,Western Bonelli's Warbler,117.0,0.23378313,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,SERINUS SERINUS,European Serin,195.0,0.2382713,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,ASTHENES PYRRHOLEUCA,Lesser Canastero,87.0,0.20285662,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,ASTHENES PYRRHOLEUCA,Lesser Canastero,246.0,0.24544775,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,UPUCERTHIA SATURATIOR,Patagonian Forest Earthcreeper,294.0,0.24596134,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,APHELOCEPHALA LEUCOPSIS,Southern Whiteface,6.0,0.32811698,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,APHELOCEPHALA LEUCOPSIS,Southern Whiteface,30.0,0.20062442,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,APHELOCEPHALA LEUCOPSIS,Southern Whiteface,42.0,0.21882765,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,APHELOCEPHALA LEUCOPSIS,Southern Whiteface,231.0,0.21806484,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,APHELOCEPHALA LEUCOPSIS,Southern Whiteface,246.0,0.25553992,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,APHELOCEPHALA LEUCOPSIS,Southern Whiteface,258.0,0.22745821,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,INCASPIZA LAETA,Buff-bridled Inca Finch,189.0,0.24097584,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LEPTASTHENURA SETARIA,Araucaria Tit-Spinetail,6.0,0.21219435,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LEPTASTHENURA SETARIA,Araucaria Tit-Spinetail,117.0,0.2037133,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LEPTASTHENURA SETARIA,Araucaria Tit-Spinetail,120.0,0.225604,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,LEPTASTHENURA SETARIA,Araucaria Tit-Spinetail,129.0,0.21089804,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,ORNITHION INERME,White-lored Tyrannulet,42.0,0.28098765,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,ORNITHION INERME,White-lored Tyrannulet,75.0,0.24554141,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,ORNITHION INERME,White-lored Tyrannulet,120.0,0.25783435,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-07 05:00:00,880004,300,PRINIA HODGSONII,Grey-breasted Prinia,87.0,0.243843,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-10 07:45:00,880002,300,GALLINAGO DELICATA,Wilson's Snipe,216.0,0.2586776,t
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-10 07:45:00,880002,300,CHERSOPHILUS DUPONTI,Dupont's Lark,267.0,0.25824153,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-10 07:45:00,880002,300,EMBERIZA CIRLUS,Cirl Bunting,54.0,0.5127558,f
CWS-PAC,Birdnet-Lite,167428-1-3,333778,2023-06-10 07:45:00,880002,300,EMBERIZA CIRLUS,Cirl Bunting,60.0,0.4122858,f
