location,latitude,longitude,buffer_m,visibility,true_coordinates,comments,internal_wildtrax_id
1029-8,,,5500,Visible,t,,513851
1029-9,,,5500,Visible,t,,513852
1030-1,,,5500,Visible,t,,513853
1030-2,,,5500,Visible,t,,513854
1030-3,,,5500,Visible,t,,513855
1030-4,,,5500,Visible,t,,513856
1030-5,,,5500,Visible,t,,513857
1030-6,,,5500,Visible,t,,513859
1030-7,,,5500,Visible,t,,513858
1030-8,,,5500,Visible,t,,513860
1030-9,,,5500,Visible,t,,513861
1031-1,,,5500,Visible,t,,513862
1031-2,,,5500,Visible,t,,513863
1031-3,,,5500,Visible,t,,513864
1031-4,,,5500,Visible,t,,513865
1031-5,,,5500,Visible,t,,513866
1031-6,,,5500,Visible,t,,513867
1031-7,,,5500,Visible,t,,513868
1031-8,,,5500,Visible,t,,513870
1031-9,,,5500,Visible,t,,513869
1035-1,,,5500,Visible,t,,512554
1035-2,,,5500,Visible,t,,512555
1035-3,,,5500,Visible,t,,512553
1035-4,,,5500,Visible,t,,512557
1035-5,,,5500,Visible,t,,512556
1035-6,,,5500,Visible,t,,512558
1035-7,,,5500,Visible,t,,512559
1035-8,,,5500,Visible,t,,512560
1035-9,,,5500,Visible,t,,512561
1036-1,,,5500,Visible,t,,512563
1036-2,,,5500,Visible,t,,512564
1036-3,,,5500,Visible,t,,512562
1036-4,,,5500,Visible,t,,512566
1036-5,,,5500,Visible,t,,512565
1036-6,,,5500,Visible,t,,512567
1036-7,,,5500,Visible,t,,512568
1036-8,,,5500,Visible,t,,512569
1036-9,,,5500,Visible,t,,512570
1037-1,,,5500,Visible,t,,512571
1037-2,,,5500,Visible,t,,512572
1037-3,,,5500,Visible,t,,512573
1037-4,,,5500,Visible,t,,512574
1037-5,,,5500,Visible,t,,512575
1037-6,,,5500,Visible,t,,512576
1037-7,,,5500,Visible,t,,512577
1037-8,,,5500,Visible,t,,512578
1037-9,,,5500,Visible,t,,512579
1041-1,,,5500,Visible,t,,510108
1041-2,,,5500,Visible,t,,510109
1041-3,,,5500,Visible,t,,510110
1041-4,,,5500,Visible,t,,510111
1041-5,,,5500,Visible,t,,510112
1041-6,,,5500,Visible,t,,510113
1041-7,,,5500,Visible,t,,510114
1041-8,,,5500,Visible,t,,510115
1041-9,,,5500,Visible,t,,510116
1042-1,,,5500,Visible,t,,510117
1042-2,,,5500,Visible,t,,510118
1042-3,,,5500,Visible,t,,510119
1042-4,,,5500,Visible,t,,510120
1042-5,,,5500,Visible,t,,510121
1042-6,,,5500,Visible,t,,510122
1042-7,,,5500,Visible,t,,510123
1042-8,,,5500,Visible,t,,510124
1042-9,,,5500,Visible,t,,510125
1043-1,,,5500,Visible,t,,510126
1043-2,,,5500,Visible,t,,510127
1043-3,,,5500,Visible,t,,510128
1043-4,,,5500,Visible,t,,510129
1043-5,,,5500,Visible,t,,510130
1043-6,,,5500,Visible,t,,510131
1043-7,,,5500,Visible,t,,510132
1043-8,,,5500,Visible,t,,510133
1043-9,,,5500,Visible,t,,510134
1050-1,,,5500,Visible,t,,513871
1050-2,,,5500,Visible,t,,513872
1050-3,,,5500,Visible,t,,513873
1050-4,,,5500,Visible,t,,513874
1050-5,,,5500,Visible,t,,513875
1050-6,,,5500,Visible,t,,513876
1050-7,,,5500,Visible,t,,513877
1050-8,,,5500,Visible,t,,513878
1050-9,,,5500,Visible,t,,513880
1051-1,,,5500,Visible,t,,513879
1051-2,,,5500,Visible,t,,513881
1051-3,,,5500,Visible,t,,513882
1051-4,,,5500,Visible,t,,513883
1051-5,,,5500,Visible,t,,513884
1051-6,,,5500,Visible,t,,513885
1051-7,,,5500,Visible,t,,513886
1051-8,,,5500,Visible,t,,513887
1051-9,,,5500,Visible,t,,513888
1052-1,,,5500,Visible,t,,513889
1052-2,,,5500,Visible,t,,513890
1052-3,,,5500,Visible,t,,513891
1052-4,,,5500,Visible,t,,513892
1052-5,,,5500,Visible,t,,513893
1052-6,,,5500,Visible,t,,513894
1052-7,,,5500,Visible,t,,513895
1052-8,,,5500,Visible,t,,513896
1052-9,,,5500,Visible,t,,513897
1056-1,,,5500,Visible,t,,513898
1056-2,,,5500,Visible,t,,513899
1056-3,,,5500,Visible,t,,513900
