location,latitude,longitude,buffer_m,visibility,true_coordinates,comments,internal_wildtrax_id
1-1,,,5500,Visible,t,,510866
1-2,,,5500,Visible,t,,510858
1-3,,,5500,Visible,t,,510859
1-4,,,5500,Visible,t,,510860
1-5,,,5500,Visible,t,,510861
1-6,,,5500,Visible,t,,510862
1-7,,,5500,Visible,t,,510863
1-8,,,5500,Visible,t,,510864
1-9,,,5500,Visible,t,,510865
2-1,,,5500,Visible,t,,510867
2-2,,,5500,Visible,t,,510868
2-3,,,5500,Visible,t,,510869
2-4,,,5500,Visible,t,,510870
2-5,,,5500,Visible,t,,510871
2-6,,,5500,Visible,t,,510872
2-7,,,5500,Visible,t,,510873
2-8,,,5500,Visible,t,,510874
2-9,,,5500,Visible,t,,510875
3-1,,,5500,Visible,t,,510876
3-2,,,5500,Visible,t,,510877
3-3,,,5500,Visible,t,,510878
3-4,,,5500,Visible,t,,510879
3-5,,,5500,Visible,t,,510880
3-6,,,5500,Visible,t,,510881
3-7,,,5500,Visible,t,,510882
3-8,,,5500,Visible,t,,510883
4-1,,,5500,Visible,t,,515531
4-2,,,5500,Visible,t,,515532
4-3,,,5500,Visible,t,,515529
4-4,,,5500,Visible,t,,515530
4-5,,,5500,Visible,t,,515533
4-6,,,5500,Visible,t,,515534
4-7,,,5500,Visible,t,,515535
4-8,,,5500,Visible,t,,515538
4-9,,,5500,Visible,t,,515536
5-1,,,5500,Visible,t,,515537
5-2,,,5500,Visible,t,,515539
5-3,,,5500,Visible,t,,515540
5-4,,,5500,Visible,t,,515541
5-5,,,5500,Visible,t,,515542
5-6,,,5500,Visible,t,,515543
5-7,,,5500,Visible,t,,515544
5-8,,,5500,Visible,t,,515545
5-9,,,5500,Visible,t,,515546
6-1,,,5500,Visible,t,,515547
6-2,,,5500,Visible,t,,515548
6-3,,,5500,Visible,t,,515549
6-4,,,5500,Visible,t,,515550
6-5,,,5500,Visible,t,,515551
6-6,,,5500,Visible,t,,515552
6-7,,,5500,Visible,t,,515553
6-8,,,5500,Visible,t,,515554
6-9,,,5500,Visible,t,,515555
7-1,,,5500,Visible,t,,524695
7-2,,,5500,Visible,t,,524697
7-3,,,5500,Visible,t,,524696
7-4,,,5500,Visible,t,,524698
7-5,,,5500,Visible,t,,524699
7-6,,,5500,Visible,t,,526326
7-7,,,5500,Visible,t,,524700
7-8,,,5500,Visible,t,,524701
7-9,,,5500,Visible,t,,524702
8-1,,,5500,Visible,t,,524703
8-2,,,5500,Visible,t,,524704
8-3,,,5500,Visible,t,,524705
8-5,,,5500,Visible,t,,524706
8-6,,,5500,Visible,t,,524707
8-7,,,5500,Visible,t,,524708
8-8,,,5500,Visible,t,,524710
8-9,,,5500,Visible,t,,524709
Z1A,,,20000,Hidden - Location,f,,66376
Z1B,,,20000,Hidden - Location,f,,66375
Z2A,,,20000,Hidden - Location,f,,66374
Z2B,,,20000,Hidden - Location,f,,66373
Z4A,,,20000,Hidden - Location,f,,66372
Z4B,,,20000,Hidden - Location,f,,66371
13-1,,,5500,Visible,t,,510884
13-2,,,5500,Visible,t,,510885
13-3,,,5500,Visible,t,,510886
13-4,,,5500,Visible,t,,510887
13-5,,,5500,Visible,t,,510888
13-6,,,5500,Visible,t,,510889
13-7,,,5500,Visible,t,,510890
13-8,,,5500,Visible,t,,510891
13-9,,,5500,Visible,t,,510892
14-1,,,5500,Visible,t,,510893
14-2,,,5500,Visible,t,,510894
14-3,,,5500,Visible,t,,510895
14-4,,,5500,Visible,t,,510896
14-5,,,5500,Visible,t,,510897
14-6,,,5500,Visible,t,,510898
14-7,,,5500,Visible,t,,510899
14-8,,,5500,Visible,t,,510900
14-9,,,5500,Visible,t,,510901
15-1,,,5500,Visible,t,,510902
15-2,,,5500,Visible,t,,510903
15-3,,,5500,Visible,t,,510904
15-4,,,5500,Visible,t,,510905
15-5,,,5500,Visible,t,,510906
15-6,,,5500,Visible,t,,510907
15-7,,,5500,Visible,t,,510908
15-8,,,5500,Visible,t,,510909
15-9,,,5500,Visible,t,,510910
16-3,,,5500,Visible,t,,515556
16-4,,,5500,Visible,t,,515557
16-5,,,5500,Visible,t,,515558
16-8,,,5500,Visible,t,,515559
16-9,,,5500,Visible,t,,515560
17-1,,,5500,Visible,t,,515561
17-2,,,5500,Visible,t,,515562
17-3,,,5500,Visible,t,,515563
17-4,,,5500,Visible,t,,515564
17-5,,,5500,Visible,t,,515565
17-6,,,5500,Visible,t,,515566
17-7,,,5500,Visible,t,,515567
17-8,,,5500,Visible,t,,515568
17-9,,,5500,Visible,t,,515569
18-1,,,5500,Visible,t,,515570
18-2,,,5500,Visible,t,,515572
18-3,,,5500,Visible,t,,515571
18-4,,,5500,Visible,t,,515573
18-5,,,5500,Visible,t,,515574
18-6,,,5500,Visible,t,,515575
18-7,,,5500,Visible,t,,515577
18-8,,,5500,Visible,t,,515578
18-9,,,5500,Visible,t,,515576
19-1,,,5500,Visible,t,,524711
19-2,,,5500,Visible,t,,524712
19-3,,,5500,Visible,t,,524713
19-4,,,5500,Visible,t,,524714
19-5,,,5500,Visible,t,,524715
19-6,,,5500,Visible,t,,524716
19-7,,,5500,Visible,t,,524717
19-8,,,5500,Visible,t,,524718
19-9,,,5500,Visible,t,,524719
1-NE,59.943126,-110.282402,5500,Visible,t,,44082
1-NW,59.943126,-110.282402,5500,Visible,t,,44080
1-SE,59.943126,-110.282402,5500,Visible,t,,44081
1-SW,59.943126,-110.282402,5500,Visible,t,,44083
2022,,,5500,Visible,t,,476668
2-NE,59.970813,-112.202679,5500,Visible,t,,32654
2-NW,59.970813,-112.202679,5500,Visible,t,,32655
2-SE,59.970813,-112.202679,5500,Visible,t,,32656
2-SW,59.970813,-112.202679,5500,Visible,t,,32657
32-1,,,5500,Visible,t,,510911
32-2,,,5500,Visible,t,,510912
32-3,,,5500,Visible,t,,510913
32-4,,,5500,Visible,t,,510914
32-5,,,5500,Visible,t,,510915
32-6,,,5500,Visible,t,,510916
32-7,,,5500,Visible,t,,510917
32-8,,,5500,Visible,t,,510918
32-9,,,5500,Visible,t,,510919
33-1,,,5500,Visible,t,,510920
33-2,,,5500,Visible,t,,510921
33-3,,,5500,Visible,t,,510922
33-4,,,5500,Visible,t,,510923
33-5,,,5500,Visible,t,,510924
33-6,,,5500,Visible,t,,510925
33-7,,,5500,Visible,t,,510927
33-8,,,5500,Visible,t,,510926
33-9,,,5500,Visible,t,,510928
34-1,,,5500,Visible,t,,510929
34-2,,,5500,Visible,t,,510930
34-3,,,5500,Visible,t,,510931
34-4,,,5500,Visible,t,,510932
34-5,,,5500,Visible,t,,510933
34-6,,,5500,Visible,t,,510934
34-7,,,5500,Visible,t,,510935
34-8,,,5500,Visible,t,,510936
34-9,,,5500,Visible,t,,510937
35-1,,,5500,Visible,t,,515579
35-2,,,5500,Visible,t,,515580
35-3,,,5500,Visible,t,,515581
35-4,,,5500,Visible,t,,515582
35-5,,,5500,Visible,t,,515583
35-6,,,5500,Visible,t,,515584
35-7,,,5500,Visible,t,,515585
35-8,,,5500,Visible,t,,515587
35-9,,,5500,Visible,t,,515586
36-1,,,5500,Visible,t,,515588
36-2,,,5500,Visible,t,,515589
36-3,,,5500,Visible,t,,515590
36-4,,,5500,Visible,t,,515591
36-5,,,5500,Visible,t,,515592
36-6,,,5500,Visible,t,,515593
36-7,,,5500,Visible,t,,515594
36-8,,,5500,Visible,t,,515595
36-9,,,5500,Visible,t,,515596
37-1,,,5500,Visible,t,,515597
37-2,,,5500,Visible,t,,515598
37-3,,,5500,Visible,t,,515600
37-4,,,5500,Visible,t,,515599
37-5,,,5500,Visible,t,,515601
37-6,,,5500,Visible,t,,515602
37-7,,,5500,Visible,t,,515603
37-8,,,5500,Visible,t,,515604
37-9,,,5500,Visible,t,,515605
38-1,,,5500,Visible,t,,524720
38-2,,,5500,Visible,t,,524721
38-3,,,5500,Visible,t,,524722
38-4,,,5500,Visible,t,,524723
38-5,,,5500,Visible,t,,524724
38-6,,,5500,Visible,t,,524725
38-7,,,5500,Visible,t,,524726
38-8,,,5500,Visible,t,,524727
38-9,,,5500,Visible,t,,524728
39-1,,,5500,Visible,t,,524729
39-2,,,5500,Visible,t,,524730
39-3,,,5500,Visible,t,,524731
39-4,,,5500,Visible,t,,524732
39-5,,,5500,Visible,t,,524733
39-6,,,5500,Visible,t,,524734
39-7,,,5500,Visible,t,,524735
39-8,,,5500,Visible,t,,524736
39-9,,,5500,Visible,t,,524738
3-NE,59.942680,-111.849083,5500,Visible,t,,32658
3-NW,59.942680,-111.849083,5500,Visible,t,,32659
3-SE,59.942680,-111.849083,5500,Visible,t,,32663
3-SW,59.942680,-111.849083,5500,Visible,t,,32665
40-1,,,5500,Visible,t,,526347
40-2,,,5500,Visible,t,,526349
40-3,,,5500,Visible,t,,526348
40-4,,,5500,Visible,t,,526350
40-5,,,5500,Visible,t,,526351
40-6,,,5500,Visible,t,,526352
40-7,,,5500,Visible,t,,526353
40-8,,,5500,Visible,t,,526354
40-9,,,5500,Visible,t,,526355
41-1,,,5500,Visible,t,,526356
41-2,,,5500,Visible,t,,526357
41-3,,,5500,Visible,t,,526358
41-4,,,5500,Visible,t,,527523
41-5,,,5500,Visible,t,,526359
41-6,,,5500,Visible,t,,526360
41-7,,,5500,Visible,t,,526361
41-8,,,5500,Visible,t,,526362
41-9,,,5500,Visible,t,,526363
4-NE,59.919475,-111.434280,5500,Visible,t,,32667
4-NW,59.919475,-111.434280,5500,Visible,t,,32669
4-SE,59.919475,-111.434280,5500,Visible,t,,32671
4-SW,59.919475,-111.434280,5500,Visible,t,,32673
54-1,,,5500,Visible,t,,515606
54-2,,,5500,Visible,t,,515607
54-3,,,5500,Visible,t,,515608
54-4,,,5500,Visible,t,,515609
54-5,,,5500,Visible,t,,515610
54-6,,,5500,Visible,t,,515611
54-7,,,5500,Visible,t,,515612
54-8,,,5500,Visible,t,,515613
54-9,,,5500,Visible,t,,515614
55-1,,,5500,Visible,t,,515615
55-2,,,5500,Visible,t,,515616
55-3,,,5500,Visible,t,,515618
55-4,,,5500,Visible,t,,515617
55-5,,,5500,Visible,t,,515619
55-6,,,5500,Visible,t,,515620
55-7,,,5500,Visible,t,,515621
55-8,,,5500,Visible,t,,515622
55-9,,,5500,Visible,t,,515623
56-1,,,5500,Visible,t,,515624
56-2,,,5500,Visible,t,,515627
56-3,,,5500,Visible,t,,515625
56-4,,,5500,Visible,t,,515626
56-5,,,5500,Visible,t,,515628
56-6,,,5500,Visible,t,,515629
56-7,,,5500,Visible,t,,515631
56-8,,,5500,Visible,t,,515630
56-9,,,5500,Visible,t,,515632
5-NE,59.901664,-111.137520,5500,Visible,t,,32675
5-NW,59.901664,-111.137520,5500,Visible,t,,32677
5-SE,59.901664,-111.137520,5500,Visible,t,,32679
5-SW,59.901664,-111.137520,5500,Visible,t,,32681
63-1,,,5500,Visible,t,,513415
63-2,,,5500,Visible,t,,513416
63-3,,,5500,Visible,t,,513418
63-4,,,5500,Visible,t,,513417
63-5,,,5500,Visible,t,,513419
63-6,,,5500,Visible,t,,513420
63-7,,,5500,Visible,t,,513421
63-8,,,5500,Visible,t,,513422
63-9,,,5500,Visible,t,,513423
64-1,,,5500,Visible,t,,513424
64-2,,,5500,Visible,t,,513426
64-3,,,5500,Visible,t,,513425
64-4,,,5500,Visible,t,,513427
64-5,,,5500,Visible,t,,513428
64-6,,,5500,Visible,t,,513429
64-7,,,5500,Visible,t,,513430
64-8,,,5500,Visible,t,,513431
64-9,,,5500,Visible,t,,513432
65-1,,,5500,Visible,t,,513433
65-2,,,5500,Visible,t,,513434
65-3,,,5500,Visible,t,,513435
65-4,,,5500,Visible,t,,513436
65-5,,,5500,Visible,t,,513437
65-6,,,5500,Visible,t,,513438
65-7,,,5500,Visible,t,,513439
65-8,,,5500,Visible,t,,513440
65-9,,,5500,Visible,t,,513441
66-1,,,5500,Visible,t,,526364
66-2,,,5500,Visible,t,,526365
66-3,,,5500,Visible,t,,526366
66-4,,,5500,Visible,t,,526367
66-5,,,5500,Visible,t,,526368
66-6,,,5500,Visible,t,,526369
66-7,,,5500,Visible,t,,526370
66-8,,,5500,Visible,t,,526371
66-9,,,5500,Visible,t,,526372
67-1,,,5500,Visible,t,,526373
67-2,,,5500,Visible,t,,526374
67-3,,,5500,Visible,t,,526375
67-4,,,5500,Visible,t,,526376
67-5,,,5500,Visible,t,,526377
67-6,,,5500,Visible,t,,526378
67-7,,,5500,Visible,t,,526379
67-8,,,5500,Visible,t,,526380
67-9,,,5500,Visible,t,,526381
68-1,,,5500,Visible,t,,526382
68-2,,,5500,Visible,t,,526383
68-3,,,5500,Visible,t,,526384
68-4,,,5500,Visible,t,,526385
68-5,,,5500,Visible,t,,526386
68-6,,,5500,Visible,t,,526387
68-7,,,5500,Visible,t,,526388
68-8,,,5500,Visible,t,,526389
68-9,,,5500,Visible,t,,526390
69-1,,,5500,Visible,t,,526391
69-2,,,5500,Visible,t,,526392
69-3,,,5500,Visible,t,,526393
69-4,,,5500,Visible,t,,526394
69-5,,,5500,Visible,t,,526395
69-6,,,5500,Visible,t,,526396
69-7,,,5500,Visible,t,,526397
69-8,,,5500,Visible,t,,526398
69-9,,,5500,Visible,t,,526399
6-NE,59.842426,-110.768616,5500,Visible,t,,32701
6-NW,59.842426,-110.768616,5500,Visible,t,,32702
6-SE,59.842426,-110.768616,5500,Visible,t,,44730
6-SW,59.842426,-110.768616,5500,Visible,t,,32703
7-NE,59.820941,-110.375534,5500,Visible,t,,234
7-SW,59.820941,-110.375534,5500,Visible,t,,233
82-1,,,5500,Visible,t,,515633
82-2,,,5500,Visible,t,,515634
82-3,,,5500,Visible,t,,515635
82-4,,,5500,Visible,t,,515636
82-5,,,5500,Visible,t,,515637
82-6,,,5500,Visible,t,,515639
82-7,,,5500,Visible,t,,515638
82-8,,,5500,Visible,t,,515640
82-9,,,5500,Visible,t,,515641
83-1,,,5500,Visible,t,,515642
83-2,,,5500,Visible,t,,515643
83-3,,,5500,Visible,t,,515644
83-4,,,5500,Visible,t,,515645
83-5,,,5500,Visible,t,,515646
83-6,,,5500,Visible,t,,515647
83-7,,,5500,Visible,t,,515648
83-8,,,5500,Visible,t,,515649
83-9,,,5500,Visible,t,,515651
84-1,,,5500,Visible,t,,515650
84-2,,,5500,Visible,t,,515652
84-3,,,5500,Visible,t,,515653
84-4,,,5500,Visible,t,,515654
84-5,,,5500,Visible,t,,515655
84-6,,,5500,Visible,t,,515656
84-7,,,5500,Visible,t,,515657
84-8,,,5500,Visible,t,,515658
84-9,,,5500,Visible,t,,515659
8-NE,59.741611,-110.100601,5500,Visible,t,,293
8-SW,59.741611,-110.100601,5500,Visible,t,,292
91-1,,,5500,Visible,t,,513442
91-2,,,5500,Visible,t,,513443
91-3,,,5500,Visible,t,,513444
91-4,,,5500,Visible,t,,513445
91-5,,,5500,Visible,t,,513447
91-6,,,5500,Visible,t,,513446
91-7,,,5500,Visible,t,,513448
91-8,,,5500,Visible,t,,513450
91-9,,,5500,Visible,t,,513449
92-1,,,5500,Visible,t,,513452
92-2,,,5500,Visible,t,,513451
92-6,,,5500,Visible,t,,513453
92-7,,,5500,Visible,t,,513454
92-8,,,5500,Visible,t,,513455
92-9,,,5500,Visible,t,,513456
93-1,,,5500,Visible,t,,513457
93-2,,,5500,Visible,t,,513458
93-3,,,5500,Visible,t,,513459
93-4,,,5500,Visible,t,,513460
93-5,,,5500,Visible,t,,513461
93-6,,,5500,Visible,t,,513462
93-7,,,5500,Visible,t,,513463
93-8,,,5500,Visible,t,,513464
93-9,,,5500,Visible,t,,513465
94-1,,,5500,Visible,t,,526400
94-2,,,5500,Visible,t,,526401
94-3,,,5500,Visible,t,,526402
94-4,,,5500,Visible,t,,526403
94-5,,,5500,Visible,t,,526404
94-6,,,5500,Visible,t,,526405
94-7,,,5500,Visible,t,,526406
94-8,,,5500,Visible,t,,526407
94-9,,,5500,Visible,t,,526408
97-1,,,5500,Visible,t,,526409
97-2,,,5500,Visible,t,,526410
97-3,,,5500,Visible,t,,526411
97-4,,,5500,Visible,t,,526412
97-5,,,5500,Visible,t,,526413
97-6,,,5500,Visible,t,,526414
97-7,,,5500,Visible,t,,526415
97-8,,,5500,Visible,t,,526416
97-9,,,5500,Visible,t,,526417
98-1,,,5500,Visible,t,,526418
98-2,,,5500,Visible,t,,526419
98-3,,,5500,Visible,t,,526420
98-4,,,5500,Visible,t,,526421
98-5,,,5500,Visible,t,,526422
98-6,,,5500,Visible,t,,526423
98-7,,,5500,Visible,t,,526424
98-8,,,5500,Visible,t,,526425
98-9,,,5500,Visible,t,,526426
DD1B,,,,Hidden - Location,t,,65241
DD2B,,,,Hidden - Location,t,,65242
DD3B,,,,Hidden - Location,t,,65235
DD4B,,,,Hidden - Location,t,,65236
DD5B,,,,Hidden - Location,t,,65237
DD6B,,,,Hidden - Location,t,,65238
DD7B,,,,Hidden - Location,t,,65239
DD8B,,,,Hidden - Location,t,,65240
MA-1,,,,Visible,t,"",49480
MA-2,,,,Visible,t,"",49481
MA-3,,,,Visible,t,"",49482
MA-5,,,,Visible,t,"",49483
TEST,,,,Visible,t,,89989
111-1,,,5500,Visible,t,,515660
111-2,,,5500,Visible,t,,515661
111-3,,,5500,Visible,t,,515662
111-4,,,5500,Visible,t,,515663
111-5,,,5500,Visible,t,,515664
111-6,,,5500,Visible,t,,515665
111-7,,,5500,Visible,t,,515666
111-8,,,5500,Visible,t,,515667
111-9,,,5500,Visible,t,,515668
112-1,,,5500,Visible,t,,515669
112-2,,,5500,Visible,t,,515670
112-3,,,5500,Visible,t,,515671
112-4,,,5500,Visible,t,,515672
112-5,,,5500,Visible,t,,515673
112-6,,,5500,Visible,t,,515674
112-7,,,5500,Visible,t,,515675
112-8,,,5500,Visible,t,,515676
112-9,,,5500,Visible,t,,515677
113-1,,,5500,Visible,t,,515678
113-2,,,5500,Visible,t,,515680
113-3,,,5500,Visible,t,,515679
113-4,,,5500,Visible,t,,515681
113-5,,,5500,Visible,t,,515682
113-6,,,5500,Visible,t,,515683
113-7,,,5500,Visible,t,,515685
113-8,,,5500,Visible,t,,515684
113-9,,,5500,Visible,t,,515686
120-1,,,5500,Visible,t,,513466
120-2,,,5500,Visible,t,,513467
120-3,,,5500,Visible,t,,513468
120-4,,,5500,Visible,t,,513469
120-5,,,5500,Visible,t,,513470
120-6,,,5500,Visible,t,,513472
120-7,,,5500,Visible,t,,513471
120-8,,,5500,Visible,t,,513473
120-9,,,5500,Visible,t,,513474
121-1,,,5500,Visible,t,,513475
121-2,,,5500,Visible,t,,513476
121-3,,,5500,Visible,t,,513477
121-4,,,5500,Visible,t,,513478
121-5,,,5500,Visible,t,,513479
121-6,,,5500,Visible,t,,513480
121-7,,,5500,Visible,t,,513481
121-8,,,5500,Visible,t,,513482
121-9,,,5500,Visible,t,,513483
122-1,,,5500,Visible,t,,513484
122-2,,,5500,Visible,t,,513486
122-3,,,5500,Visible,t,,513485
122-4,,,5500,Visible,t,,513487
122-5,,,5500,Visible,t,,513488
122-6,,,5500,Visible,t,,513489
122-7,,,5500,Visible,t,,513490
122-8,,,5500,Visible,t,,513491
122-9,,,5500,Visible,t,,513492
128-1,,,5500,Visible,t,,519824
128-2,,,5500,Visible,t,,519823
128-3,,,5500,Visible,t,,519822
128-4,,,5500,Visible,t,,519821
128-5,,,5500,Visible,t,,519825
128-6,,,5500,Visible,t,,519826
128-7,59.447677,-119.101288,5500,Visible,t,,519828
128-8,,,5500,Visible,t,,519827
128-9,,,5500,Visible,t,,519829
129-1,,,5500,Visible,t,,526427
129-2,,,5500,Visible,t,,526428
129-3,,,5500,Visible,t,,526429
129-4,,,5500,Visible,t,,526430
129-5,,,5500,Visible,t,,526431
129-6,,,5500,Visible,t,,526432
129-7,,,5500,Visible,t,,526433
129-8,,,5500,Visible,t,,526434
129-9,,,5500,Visible,t,,526435
130-1,,,5500,Visible,t,,519830
130-2,,,5500,Visible,t,,519832
130-3,,,5500,Visible,t,,519831
130-4,,,5500,Visible,t,,519833
130-5,,,5500,Visible,t,,519834
130-6,59.372177,-118.382347,5500,Visible,t,,519836
130-7,,,5500,Visible,t,,519835
130-8,,,5500,Visible,t,,519837
130-9,,,5500,Visible,t,,519838
134-1,,,5500,Visible,t,,515687
134-2,,,5500,Visible,t,,515688
134-3,,,5500,Visible,t,,515690
134-4,,,5500,Visible,t,,515689
134-5,,,5500,Visible,t,,515691
134-6,,,5500,Visible,t,,515692
134-7,,,5500,Visible,t,,515693
134-8,,,5500,Visible,t,,515694
134-9,,,5500,Visible,t,,515695
135-1,,,5500,Visible,t,,515696
135-2,,,5500,Visible,t,,515699
135-3,,,5500,Visible,t,,515697
135-4,,,5500,Visible,t,,515698
135-5,,,5500,Visible,t,,515700
135-6,,,5500,Visible,t,,515701
135-7,,,5500,Visible,t,,515702
135-8,,,5500,Visible,t,,515703
135-9,,,5500,Visible,t,,515704
136-1,,,5500,Visible,t,,515705
136-2,,,5500,Visible,t,,515706
136-3,,,5500,Visible,t,,515707
136-4,,,5500,Visible,t,,515708
136-5,,,5500,Visible,t,,515709
136-6,,,5500,Visible,t,,515710
136-7,,,5500,Visible,t,,515712
136-8,,,5500,Visible,t,,515711
136-9,,,5500,Visible,t,,515713
13-NE,59.869964,-112.579437,5500,Visible,f,,32704
13-NW,59.869964,-112.579437,5500,Visible,f,,92358
13-SE,59.869964,-112.579437,5500,Visible,f,,92357
13-SW,59.869964,-112.579437,5500,Visible,f,,32707
149-1,,,5500,Visible,t,,512822
149-2,,,5500,Visible,t,,512823
149-3,,,5500,Visible,t,,512825
149-4,,,5500,Visible,t,,512828
149-5,,,5500,Visible,t,,512826
149-6,,,5500,Visible,t,,512827
149-7,,,5500,Visible,t,,512829
149-8,,,5500,Visible,t,,512832
149-9,,,5500,Visible,t,,512831
14-NE,59.796966,-112.230896,5500,Visible,f,,32708
14-NW,59.796966,-112.230896,5500,Visible,f,,32709
14-SE,59.796966,-112.230896,5500,Visible,f,,32710
14-SW,59.796966,-112.230896,5500,Visible,f,,32711
150-1,,,5500,Visible,t,,512841
150-2,,,5500,Visible,t,,512842
150-3,,,5500,Visible,t,,512843
150-4,,,5500,Visible,t,,512844
150-5,,,5500,Visible,t,,512845
150-6,,,5500,Visible,t,,512846
150-7,,,5500,Visible,t,,512848
150-8,,,5500,Visible,t,,512847
150-9,,,5500,Visible,t,,512849
151-1,,,5500,Visible,t,,512859
151-2,,,5500,Visible,t,,512860
151-3,,,5500,Visible,t,,512861
151-4,,,5500,Visible,t,,512862
151-5,,,5500,Visible,t,,512863
151-6,,,5500,Visible,t,,512864
151-7,,,5500,Visible,t,,512865
151-8,,,5500,Visible,t,,512866
151-9,,,5500,Visible,t,,512867
154-1,,,5500,Visible,t,,515715
154-2,,,5500,Visible,t,,515714
154-3,,,5500,Visible,t,,515716
154-4,,,5500,Visible,t,,515717
154-5,,,5500,Visible,t,,515718
154-6,,,5500,Visible,t,,515719
154-7,,,5500,Visible,t,,515721
154-8,,,5500,Visible,t,,515720
154-9,,,5500,Visible,t,,515722
157-1,,,5500,Visible,t,,526436
157-2,,,5500,Visible,t,,526437
157-3,,,5500,Visible,t,,526438
157-4,,,5500,Visible,t,,526439
157-5,,,5500,Visible,t,,526440
157-6,,,5500,Visible,t,,526441
157-7,,,5500,Visible,t,,526442
157-8,,,5500,Visible,t,,526443
157-9,,,5500,Visible,t,,526444
158-1,,,5500,Visible,t,,526445
158-2,,,5500,Visible,t,,526446
158-3,,,5500,Visible,t,,526447
158-4,,,5500,Visible,t,,526448
158-5,,,5500,Visible,t,,526449
158-6,,,5500,Visible,t,,526450
158-7,,,5500,Visible,t,,526451
158-8,,,5500,Visible,t,,526452
158-9,,,5500,Visible,t,,526453
15-NE,59.783935,-111.907753,5500,Visible,f,,32712
15-NW,59.783935,-111.907753,5500,Visible,f,,32713
15-SE,59.783935,-111.907753,5500,Visible,f,,32714
15-SW,59.783935,-111.907753,5500,Visible,f,,32715
163-1,,,5500,Visible,t,,515724
163-2,,,5500,Visible,t,,515723
163-3,,,5500,Visible,t,,515725
163-4,,,5500,Visible,t,,515726
163-5,,,5500,Visible,t,,515727
163-6,,,5500,Visible,t,,515729
163-7,,,5500,Visible,t,,515728
163-8,,,5500,Visible,t,,515730
163-9,,,5500,Visible,t,,515731
164-1,,,5500,Visible,t,,515732
164-2,,,5500,Visible,t,,515733
164-3,,,5500,Visible,t,,515734
164-4,,,5500,Visible,t,,515735
164-5,,,5500,Visible,t,,515737
164-6,,,5500,Visible,t,,515736
164-7,,,5500,Visible,t,,515738
164-8,,,5500,Visible,t,,515739
164-9,,,5500,Visible,t,,515740
165-1,,,5500,Visible,t,,515741
165-2,,,5500,Visible,t,,515742
165-3,,,5500,Visible,t,,515743
165-4,,,5500,Visible,t,,515744
165-5,,,5500,Visible,t,,515745
165-6,,,5500,Visible,t,,515746
165-7,,,5500,Visible,t,,515747
165-8,,,5500,Visible,t,,515748
165-9,,,5500,Visible,t,,515750
16-NE,59.737674,-111.459206,5500,Visible,f,,32716
16-NW,59.737674,-111.459206,5500,Visible,f,,32717
16-SE,59.737674,-111.459206,5500,Visible,f,,32718
16-SW,59.737674,-111.459206,5500,Visible,f,,32719
179-1,,,5500,Visible,t,,512921
179-2,,,5500,Visible,t,,512922
179-3,,,5500,Visible,t,,512923
179-4,,,5500,Visible,t,,512924
179-5,,,5500,Visible,t,,512925
179-6,,,5500,Visible,t,,512926
179-7,,,5500,Visible,t,,512927
179-8,,,5500,Visible,t,,512928
179-9,,,5500,Visible,t,,512929
17-NE,59.700065,-111.143211,5500,Visible,f,,32720
17-NW,59.700065,-111.143211,5500,Visible,f,,32721
17-SE,59.700065,-111.143211,5500,Visible,f,,32722
17-SW,59.700065,-111.143211,5500,Visible,f,,32723
180-1,,,5500,Visible,t,,512931
180-2,,,5500,Visible,t,,512930
180-3,,,5500,Visible,t,,512932
180-4,,,5500,Visible,t,,512933
180-5,,,5500,Visible,t,,512934
180-6,,,5500,Visible,t,,512935
180-7,58.592372,-111.314796,5500,Visible,t,,512936
180-8,,,5500,Visible,t,,512937
180-9,,,5500,Visible,t,,512938
181-1,,,5500,Visible,t,,515749
181-2,,,5500,Visible,t,,515751
181-3,,,5500,Visible,t,,515753
181-4,,,5500,Visible,t,,515752
181-5,,,5500,Visible,t,,515754
181-6,,,5500,Visible,t,,515755
181-7,,,5500,Visible,t,,515756
181-8,,,5500,Visible,t,,515757
181-9,,,5500,Visible,t,,515759
182-1,,,5500,Visible,t,,515758
182-2,,,5500,Visible,t,,515760
182-3,,,5500,Visible,t,,515763
182-4,,,5500,Visible,t,,515761
182-5,,,5500,Visible,t,,515762
182-6,,,5500,Visible,t,,515764
182-7,,,5500,Visible,t,,515765
182-8,,,5500,Visible,t,,515766
182-9,,,5500,Visible,t,,515767
183-1,,,5500,Visible,t,,515768
183-2,,,5500,Visible,t,,515769
183-3,,,5500,Visible,t,,515771
183-4,,,5500,Visible,t,,515770
183-5,,,5500,Visible,t,,515772
183-6,,,5500,Visible,t,,515773
183-7,,,5500,Visible,t,,515774
183-8,,,5500,Visible,t,,515775
183-9,,,5500,Visible,t,,515776
186-1,,,5500,Visible,t,,526454
186-2,,,5500,Visible,t,,526455
186-3,,,5500,Visible,t,,526456
186-4,,,5500,Visible,t,,526457
186-5,,,5500,Visible,t,,526458
186-6,,,5500,Visible,t,,526459
186-7,,,5500,Visible,t,,526460
186-8,,,5500,Visible,t,,526461
186-9,,,5500,Visible,t,,526462
187-1,,,5500,Visible,t,,526463
187-2,,,5500,Visible,t,,526464
187-3,,,5500,Visible,t,,526465
187-4,,,5500,Visible,t,,526466
187-5,,,5500,Visible,t,,526467
187-6,,,5500,Visible,t,,526468
187-7,,,5500,Visible,t,,526469
